url,name,ingredients,instruction
https://www.povarenok.ru/recipes/show/181238/,Интересная закуска с бататом,"{'Батат': '1 шт', 'Масло растительное': '4 ст. л.', 'Сыр творожный': '100 г', 'Финик': '1 горст.', 'Орехи грецкие': '1 горст.', 'Мед': '1 ст. л.'}","['Нарезать батат на кусочки около 1,5 см шириной.', 'Сделать надрезы вдоль и поперек, щедро смазать маслом и запекать в духовке при 180С 35 минут.', 'Вынуть из духовки, смазать каждый кусочек творожным сыром (у меня рикотта), посыпать орехами и финиками и полить медом. Можно подавать. Хорошо с белым вином.']"
https://www.povarenok.ru/recipes/show/181292/,Фаршированные кабачки под сырной корочкой,"{'Кабачок': '1 шт', 'Мясо': '200 г', 'Шампиньоны': '150 г', 'Лук репчатый': '1 шт', 'Чеснок': '2 зуб.', 'Сливки': '100 мл', 'Сыр голландский': '100 г', 'Майонез': '2 ст. л.', 'Соль': 'по вкусу', 'Перец черный': 'по вкусу', 'Петрушка': '1 ч. л.', 'Масло растительное': 'по вкусу'}","['Кабачок помыть, разрезать пополам, очистить от кожуры, вынуть ложкой семена и волокна. Края кабачка ровно обрезать. Обрезки кабачка покрошить средними кубиками.', 'Мясо помыть и нарезать средними кубиками.', 'Помыть и очистить грибы, покрошить их средними кусочками.', 'Очистить лук, чеснок и все мелко покрошить.', 'Сыр натереть на мелкой терке и смешать с майонезом до однородности.', 'Обжарить на растительно масле мясо до золотистой корочки, слегка присолить, затем убрать его со сковороды.', 'Грибы обжаривать в той же сковороде до тех пор, пока не выпарится жидкость, поперчить, обжарить еще пару минут и снять с огня.', 'Кусочки кабачка обжарить до золотистой корочки в той же сковороде.', 'Лук и чеснок обжарить до появления золотистого цвета.', 'Затем, в этой же сковороде, соединить все ингридиенты, добавить сливки, специи, подсолить по вкусу и тушить на медленном огне минут 7 - 10.', 'Получившуюся смесь выложить в кабачок, сверху смазать майонезно-сырной смесью. Кабачки уложить в форму для запекания и поставить на 30мин в духовку, заранее разогретую до 200С.', 'Приятного аппетита!']"
https://www.povarenok.ru/recipes/show/181321/,"Салат из овощей и яблока ""Рубиновый""","{'Капуста белокочанная': '100 г', 'Свекла': '1/2 шт', 'Морковь': '1 шт', 'Яблоко': '1/2 шт', 'Соль': '1/2 ч. л.', 'Перец черный': '1/2 ч. л.', 'Масло оливковое': '1 ст. л.', 'Горчица': '1/2 ч. л.', 'Мед': '1 ч. л.', 'Сок лимонный': '1 ч. л.'}","['Капусту нашинковать очень тонко. Сложить в миску, немного присолить, помять руками, чтобы дала сок.', 'Свеклу очистить, натереть на терке для моркови «по-корейски».', 'То же самое сделать с морковью.', 'Так же натереть яблоко, не снимая кожицы.', 'Все ингредиенты смешать, добавить оставшуюся соль и перец.', 'Приготовить заправку. Смешать масло, мед, горчицу, лимонный сок, тщательно перемешать, можно взбить венчиком.', 'Заправить салат, перемешать и подавать.\r\nПриятного аппетита!']"
https://www.povarenok.ru/recipes/show/181252/,Пшенная каша в горшочках,"{'Пшено': '4 ст. л.', 'Молоко': '300 мл', 'Сахар': '2 ч. л.', 'Соль': 'по вкусу', 'Масло сливочное': '30 г'}","['Несколько раз промыть пшено под холодной водой.', 'Затем слить воду и выложить пшено в горшочек.', 'Залить пшено в горшочке молоком. Добавить сахар и соль, все перемешать. По желанию можно добавить изюм, курагу или чернослив.', 'Поставить горшочек с пшеном и молоком в духовку, крышкой не накрывать. Готовить при t 180-190C примерно 40мин.', 'Затем вытащить горшочек из духовки и добавить в него сливочное масло. Снова поставить в духовку и готовить до образования на каше корочки золотистого оттенка. Когда появится корочка, накрыть горшочек крышкой, выключить духовку и дать постоять еще 10мин.', 'Приятного аппетита!']"
https://www.povarenok.ru/recipes/show/181195/,Суп из головы сёмги с пшеном,"{'Семга': '600 г', 'Вода': '2 л', 'Лук репчатый': '80 г', 'Морковь': '80 г', 'Помидор': '100 г', 'Масло растительное': '2 ст. л.', 'Пшено': '2 ст. л.', 'Картофель': '200 г', 'Соль': 'по вкусу', 'Лист лавровый': '2 шт'}","['Подготовьте все необходимые продукты. \n\r\nГолову сёмги ополосните под проточной холодной водой и удалите жабры обязательно! Некоторые ещё дополнительно удаляют глаза, но я не вижу в этом необходимости. Но если вы привыкли так поступать, то делайте как привыкли.\n\r\nВсе овощи помойте и очистите. До момента закладки картофеля в суп, держите его в холодной воде, чтобы он не потемнел.', 'Голову сёмги залейте холодной водой и доведите до кипения.\n\r\nПервые пару минут пусть кипит очень сильно, а вы в это время вооружитесь ложкой и тщательно снимайте всю пену. \n\r\nКак только пена сойдёт на нет, убавьте нагрев и на самом маленьком огне варите голову сёмги 20-30 минут. В начале варки посолите по вкусу.', 'Шумовкой извлеките из кастрюли голову сёмги и переложите её на тарелку.\n\r\nБульон процедите при необходимости. \n\r\nГолову сёмги ""разберите"", как говорила моя бабушка. То есть акуратно и тщательно отделите рыбье мясо от косточек. Поверьте, там его много!', 'Пока варилась голова сёмги, параллельно можно приготовить заправку для супа.\n\r\nНарежьте мелко лук. Морковь и помидор натрите на тёрке. \r\nНа разогретом масле обжарьте лук с морковью до золотистого цвета (примерно 10-15 минут), затем добавьте помидор и обжарьте всё вместе ещё пару минут. Снимите заправку с огня и пока отставьте в сторонку.', 'Пшено тщаельно промойте на сите и обдайте кипятком.\n\r\nПшена можно положить и побольше, если вы любите густые супы.', 'В процеженный рыбный бульон всыпьте пшено и доведите до кипения.', 'Следом добавьте нарезанный брусочками картофель и после закипания картофеля, варите суп на среднем огне около 15-20 минут. Картофель должен стать мягким.', 'Положите в суп заправку из лука, моркови и помидор.', 'И следом добавьте мясо, снятое с головы сёмги.', 'Киньте в кастрюлю пару лавровых листочков или добавьте любую приправу для рыбы.\r\nПроварите суп с заправкой ещё буквально пару минут и выключите плиту.\r\nМожно дать ему настояться некоторое время на выключенной плите (10-15 минут).', 'Готовый суп разлейте по тарелкам. Можно добавить свежую зелень по вкусу или ломтик лимона. \n\r\nПриятного аппетита!']"
https://www.povarenok.ru/recipes/show/181304/,Суп томатный с капустой и пшеничной крупой,"{'Говядина': '700 г', 'Капуста белокочанная': '300 г', 'Крупа пшеничная': '1 стак.', 'Томаты в собственном соку': '700 г', 'Сок томатный': '200 мл', 'Перец болгарский': '1 шт', 'Лук репчатый': '1 шт', 'Перец чили': '1 шт', 'Коренья': '2 ст. л.', 'Масло растительное': '2 ст. л.', 'Вода': 'Вода', 'Соль': 'по вкусу'}","['Вот такая грудинка у меня была.', 'Грудинку залить холодной водой, довести до кипения, снять пену, добавить острый перец, смесь кореньев, варить на слабом огне 2 часа. Посолить примерно за полчаса до готовности.', 'Тем временем капусту нарезать кубиками.', 'Кубиками нарезать лук.', 'Венгерский перец освободить от семян и перегородок, нарезать полукольцами.', 'Помидоры выложить в миску, раздавить вилкой. Без фанатизма: если останутся кусочки – они не испортят суп.', 'Крупу отмерить.', 'Томатный сок соединить с томатами.', 'Когда бульон будет готов, мясо вынуть, разобрать.', 'Бульон довести до кипения, отправить крупу. Варить на среднем огне 1 час, пока крупа не станет совсем мягкой. Отправить в кастрюлю капусту, варить на среднем огне 15 минут.', 'Тем временем в глубокой сковороде или сотейнике на разогретом растительном масле спассеровать лук до прозрачности.', 'Добавить перец, жарить еще минуты 3. Влить помидоры и томатный сок, тушить все вместе минут 5.', 'Когда крупа и капуста будут готовы, вернуть в кастрюлю мясо, отправить туда же содержимое сковороды (сотейника).', 'Прокипятить, снять с плиты, накрыть кастрюлю крышкой, дать немного отдохнуть. При подаче можно украсить любой зеленью.\r\nПриятного аппетита!']"
https://www.povarenok.ru/recipes/show/181272/,"Салат с курицей, огурцами, сыром, яйцом","{'Курица': '200 г', 'Сыр твердый': '200 г', 'Яйцо куриное': '3 шт', 'Огурец': '1 шт', 'Соль': 'по вкусу', 'Зелень': '1 пуч.', 'Майонез': 'по вкусу'}","['1 слой - курицу нарезать средними кубиками.', 'Перемешать с небольшим количеством майонеза.', 'И равномерно распределить по дну салатника.', '2 слой - огурцы помыть и очистить от шкурки. Порезать соломкой или кубиками, слегка отжать от лишней жидкости и уложить на слой мяса.', '3 слой — сыр натереть на крупной терке.', 'Равномерно выложить на огурцы.', 'И сверху смазать майонезом.', '4 слой — яйца натереть на крупной терке.', 'Выложить их равномерным слоем на сыр.', 'И сверху смазать майонезом.', 'Зелень мелко порубить.', 'И посыпать ей салат по своему вкусу.', 'Приятного аппетита!']"
https://www.povarenok.ru/recipes/show/181217/,Картошка в духовке,"{'Картофель': '1 кг', 'Майонез': '5 ст. л.', 'Соль': '1 ч. л.', 'Смесь перцев': '1 ч. л.', 'Специи': '1 ч. л.', 'Чеснок': 'по вкусу', 'Тмин': 'по вкусу'}","['Подготовить картофель: вымыть, убрать черные точки (важно, чтобы по завершении картофель выглядел красиво)', 'Нарезать картофель кружочками. Я использую вот такой инструмент, чтобы случайно не порезаться)) Он называется ""держатель для нарезки лука"".', 'Заполняю кастрюльку (или любую другую ёмкость) нарезанным картофелем (несколько неудачных кусочков были отданы енотику). Я разложила в 2 ёмкости, т. к. картофеля было очень много, так удобнее перемешивать. Далее можно чуть обсушить бумажными полотенцами.', 'Перемешиваем с майонезом. Мне нравится использовать такую ложку, идеально все перемешивает.', 'Подготовим специи (любые, на ваше усмотрение и вкус) и соль. Можно добавить чеснок (у меня не было под рукой, не успевали сходить за ним). Все тщательно перемешиваем.', 'Противень застелем бумагой, высыпаем нашу картошечку. Стараемся более-менее ровненько её распределить. Далее я прикрыла фольгой и отправила в духовку на 35 мин (180 градусов). Через 35 минут сняла фольгу и отправила еще минут на 20 (до готовности картошки... т. к. картошки вышло много, окончательное время приготовления будет больше, ориентируйтесь на свою духовку)', 'Вынимаем и можно налетать)) У меня на гарнир были запеченные окорочка.']"
https://www.povarenok.ru/recipes/show/181203/,Миндальные вафли со стевией,"{'Масло кокосовое': '40 г', 'Яйцо куриное': '2 шт', 'Стевия': '4 г', 'Разрыхлитель теста': '1 ч. л.', 'Ванильный сахар': '2 г', 'Мука миндальная': '120 г'}","['Все сухие ингредиенты просеять через сито', 'Добавить растопленное кокосовое масло', 'Кокосовое масло добавить в сухие ингредиенты', 'Добавить два яйца', 'Все хорошо перемешать', 'Получается густое тесто которое падает с ложки', 'Вафельницу смазать постным маслом -я смазывала один раз, положить ложкой тесто на вафельницу, печь 2-2,5 мин. Следите за своей техникой!!', 'Готово!\r\nПриятного аппетита!']"
https://www.povarenok.ru/recipes/show/181264/,Салат из свежей капусты с яйцом,"{'Капуста белокочанная': '500 г', 'Лук репчатый': '1 шт', 'Горошек зеленый': '1 бан.', 'Яйцо куриное': '3 шт', 'Сметана': '5 ст. л.', 'Уксус': '1 ч. л.', 'Сахар': '1 щепот.', 'Соль': 'по вкусу', 'Зелень': 'по вкусу'}","['Капусту и лук мелко порезать, посолить. Затем капусту тщательно размять руками, чтобы она пустила сок, дать немного постоять.', 'Яйца мелко порубить.', 'Капусту с луком присыпать сахарным песком, полить уксусом и перемешать.', 'Яйца и горошек выложить в миску с капустой, добавить сметану или майонез, перемешать, украсить рубленной зеленью.', 'Приятного аппетита!']"
