url,name,ingredients,energy_value_all,protein_value_all,fat_value_all,carb_value_all,energy_value_portion,protein_value_portion,fat_value_portion,carb_value_portion,energy_value_100g,protein_value_100g,fat_value_100g,carb_value_100g,portion_count,instruction
https://www.povarenok.ru/recipes/show/181368/,Сырный содовый хлеб,"{'Мука пшеничная': '225 г', 'Пахта': '200 мл', 'Сыр твердый': '35 г', 'Сода': '0,5 ч. л.', 'Зелень': '0,5 ст. л.', 'Соль': '0,5 ч. л.'}",911,35.2,5.6,183.2,113.9,4.4,0.7,22.9,198,7.7,1.2,39.8,8.0,"['Муку смешайте с зеленью, содой и солью.', 'Влейте пахту.', 'Замесите тесто (добавьте еще муки при необходимости).', 'Из теста сформируйте пласт, толщиной около 2 см.', 'Разрежьте на 8 частей.', 'Переложите булочки на противень, застеленный бумагой для выпечки, сверху на каждую заготовку выложите тертый сыр.', 'Выпекайте при 250*С 10 минут, затем снизьте температуру до 200*С и выпекайте еще около 10 минут.', 'Остудите и подавайте к столу!', 'Приятного аппетита!']"
https://www.povarenok.ru/recipes/show/181321/,"Салат из овощей и яблока ""Рубиновый""","{'Капуста белокочанная': '100 г', 'Свекла': '1/2 шт', 'Морковь': '1 шт', 'Яблоко': '1/2 шт', 'Соль': '1/2 ч. л.', 'Перец черный': '1/2 ч. л.', 'Масло оливковое': '1 ст. л.', 'Горчица': '1/2 ч. л.', 'Мед': '1 ч. л.', 'Сок лимонный': '1 ч. л.'}",412.3,6,21.4,48.3,206.2,3,10.7,24.2,82.5,1.2,4.3,9.7,2.0,"['Капусту нашинковать очень тонко. Сложить в миску, немного присолить, помять руками, чтобы дала сок.', 'Свеклу очистить, натереть на терке для моркови «по-корейски».', 'То же самое сделать с морковью.', 'Так же натереть яблоко, не снимая кожицы.', 'Все ингредиенты смешать, добавить оставшуюся соль и перец.', 'Приготовить заправку. Смешать масло, мед, горчицу, лимонный сок, тщательно перемешать, можно взбить венчиком.', 'Заправить салат, перемешать и подавать.\r\nПриятного аппетита!']"
https://www.povarenok.ru/recipes/show/181247/,Фаршированные помидоры,"{'Помидор': '8 шт', 'Творог': '180 г', 'Чеснок': '3 зуб.', 'Петрушка': '20 г', 'Лук зеленый': '20 г', 'Укроп': '20 г', 'Масло подсолнечное': '2 ст. л.', 'Базилик': '1 пуч.', 'Перец белый': '1/2 ч. л.'}",806.4,53.1,38.3,78.1,,,,,59.3,3.9,2.8,5.7,,"['У помидоров срезать крышечку. Осторожно чайной ложкой выскрести мякоть.', 'Мелко нарезать зелень и чеснок.', 'В блендере измельчить чеснок, зелень, белый перец, подсолнечное масло и творог. Если масса получается слишком густой, добавить сок помидоров (без мякоти), который выделился при нарезании помидоров ранее. \r\nПомидоры наполнить получившейся творожной массой.', 'Накрыть помидоры шляпками. Поставить в холодильник на 30 минут.', 'При подаче украсить свежими листьями базилика и, по желанию, сбрызнуть маслом.', 'Закуска получается в меру острой, приятной и питательной.\r\nСоль добавить по вкусу.', 'Готовьте с удовольствием!']"
https://www.povarenok.ru/recipes/show/181315/,Замороженный соус из петрушки,"{'Петрушка': '1 пуч.', 'Оливки зеленые': '3 ст. л.', 'Масло оливковое': '3 ст. л.', 'Соевый соус': 'по вкусу'}",603,2.8,63.9,7.3,,,,,317.4,1.5,33.6,3.8,,"['1. Вымыть петрушку и нарезать.\r\n2. Измельчить блендером оливки с маслом и петрушкой. По желанию можно добавить и соевый соус или даже чеснок.', '3. Заливаем в силиконовые формочки и замораживаем несколько часов в морозилке (в зависимости от размера формочек). Время заморозки не учитывается во времени приготовления рецепта. Конечно, соус можно и не замораживать, а подавать и в жидком состоянии - тоже будет вкусно. В замороженном виде хранится дольше.', '4. После замораживания - извлекаем из формы и подаем к рыбному или мясному блюду.\n\r\nПриятного аппетита!']"
https://www.povarenok.ru/recipes/show/181255/,"Салат ""Острые ощущения""","{'Морковь': '200 г', 'Говядина': '300 г', 'Кукуруза': '150 г', 'Чеснок': '1 зуб.', 'Майонез': '2 ст. л.', 'Зелень': 'по вкусу'}",1317.8,76.2,65,108.3,,,,,188.3,10.9,9.3,15.5,,"['Чеснок очистить, пропустить через пресс и смешать с майонезом. Морковь по-корейски выложить в глубокую миску, смешать с майонезно-чесночной смесью и дать постоять 30мин.', '*', '*', 'Говядину нарезать средней соломкой.', 'Из банки с кукурузой слить жидкость. Затем в глубокой миске смешать все ингредиенты.', '*', 'Выложить салат на блюдо и украсить зеленью петрушки. Поставить салат в холодильник на 15мин, а затем, подавать на стол. Приятного аппетита!']"
https://www.povarenok.ru/recipes/show/181333/,Перец жареный на зиму,"{'Перец болгарский': 'по вкусу', 'Вода': '1 л', 'Сахар': '3.5 ст. л.', 'Уксус': '1/3 стак.', 'Перец черный': '3 шт', 'Соль': '1 ч. л.'}",348.4,,,87.3,,,,,25.8,,,6.5,,"['Перец вымыть, очистить от семян и разрезать пополам. Если перец крупный, то можно разрезать на 3-4 части.', 'В глубокой сковороде раскалить растительное масло и обжарить нарезанный перец со всех сторон до мягкости.', '*', 'Обжаренный перец плотно уложить в заранее простерилизованные банки.', 'Для маринада смешать все ингредиенты и вскипятить. Залить перец кипящим маринадом и закатать.', '*', 'Приятного аппетита!']"
https://www.povarenok.ru/recipes/show/181330/,Постный пирог с ягодой,"{'Сахар': '1 ст. л.', 'Вода': '50 г', 'Масло растительное': '20 г', 'Соль': '1 щепот.', 'Мука пшеничная': '3 ст. л.', 'Смородина черная': '140 г', 'Крахмал': '1 ч. л.', 'Ванилин': '1 щепот.'}",2819.4,31.8,124.5,394.9,704.9,8,31.1,98.7,356.9,4,15.8,50,4.0,"['Смешать в чаше сахар, воду, растительное масло, соль. Все хорошо перемешать венчиком до однородной эмульсии.', 'Добавить просеянную муку, замесить быстро тесто.', 'Получилось 450 гр. теста, оно нежное и поддатливое.', 'Размер моей формы 20 х 20 см. Руками распределить тесто по форме, делая толстые бортики. Форму смазать растительным маслом.', 'Для начинки смешать сахар, крахмал ( или муку) и смородину.', 'Из сахара, муки и растительного масла сделать крошку (штрейзель).', 'На тесто высыпать начинку и сверху распределить штрейзель.', 'Выпекать в духовке при t=180 C примерно 30 минут до готовности.', 'P.S. Вот такую форму со съемным дном я использовала.']"
https://www.povarenok.ru/recipes/show/181308/,"Пирог ""Кучеряшка""","{'Яйцо куриное': '2 шт', 'Мука пшеничная': '3 стак.', 'Масло сливочное': '200 г', 'Сахар': '1 стак.', 'Ванилин': '1 щепот.', 'Разрыхлитель теста': '1 ч. л.', 'Варенье': '200 г'}",4777.6,60,182.8,735.2,,,,,388.4,4.9,14.9,59.8,,"['Растопить на водяной бане маргарин или сливочное масло, а затем немного охладить его.', 'В глубокую миску высыпать сахар, добавить к нему растопленное масло, ванилин, яйца и тщательно все перемешать.', 'Смешать пшеничную муку с разрыхлителем.', 'Постепенно ввести мучную смесь в полученную в миске массу. Замесить крутое тесто и разделить его на две неравные части. Меньшую часть положить на час в морозильник.', 'Большую часть теста равномерно выложить в форму для выпечки, предварительно смазанную сливочным маслом. Сделать по краям бортики. Сверху положить слой варенья и разровнять его. После этого достать вторую часть теста из морозилки и натереть его через крупную терку на слой варенья.', 'Форму с пирогом поставить выпекаться на 20-30мин в духовку, заранее разогретую до 200С.', 'Приятного аппетита!']"
https://www.povarenok.ru/recipes/show/181332/,Мятный морковный пирог с грецкими орехами,"{'Сироп мятный': '75 мл', 'Вода': '75 мл', 'Морковь': '150 г', 'Орехи грецкие': '85 г', 'Мука пшеничная': '200 г', 'Разрыхлитель теста': '1 ч. л.', 'Масло растительное': '8 ст. л.', 'Сахар': '1..2 ст. л.', 'Сок лимонный': '1 ст. л.', 'Мята': '1 горст.', 'Соль': '1 щепот.'}",2514.5,34.4,158.5,243.7,314.3,4.3,19.8,30.5,326.6,4.5,20.6,31.6,8.0,"['Смешайте воду, сироп, сахар, масло, натертую морковь, ванилин, соль, сок лимона и рубленную мяту.', 'Добавьте измельченные орехи, перемешайте.', 'Всыпьте муку с разрыхлителем.', 'Хорошо перемешайте.', 'Выложите массу в разъемную форму для выпечки (у меня 18 см), выпекайте при 190*С около 45 минут до сухой палочки.', 'Аккуратно выньте пирог из формы, остудите и подавайте.', 'Приятного аппетита!']"
https://www.povarenok.ru/recipes/show/181293/,Торт-мусс с курицей и шпинатом,"{'Грудка куриная': '300 г', 'Лук репчатый': '1 шт', 'Морковь': '1 шт', 'Гвоздика': '3 шт', 'Перец черный': 'по вкусу', 'Соль': '1/3 ч. л.', 'Бульон': '150 мл', 'Сливки': '150 мл', 'Желатин': '3 шт', 'Рис': '100 г', 'Вода': '100 мл', 'Молоко': '400 мл', 'Сок лимонный': '2 ст. л.', 'Чеснок': '2..3 зуб.', 'Масло оливковое': '1 ст. л.', 'Помидоры черри': '9 шт', 'Шпинат': '10 шт'}",3216.9,359.7,147.3,140.7,268.1,30,12.3,11.7,113.3,12.7,5.2,5,12.0,"['Для бульона. Куриные грудки промойте, залейте холодной водой (на 2-3 см выше филе), поставьте на огонь. В луковицу воткните гвоздику, добавьте в кастрюлю, затем очищенную морковь (целиком), черный перец горошком, доведите до кипения, варите на самом маленьком огне до мягкости филе около 20-30 минут.', 'Для мусса из курицы с морковью. Листы желатина замочите в холодной воде на 8-10 минут. Бульон процедите, морковь нарежьте кубиками. Куриные грудки измельчите в блендере, влейте горячий бульон с распущенным в нем желатином, посолите, поперчите, перемешайте.', 'Добавьте нарезанную морковь, аккуратно перемешайте.', 'Добавьте взбитые до устойчивых пик сливки, осторожно перемешайте.', 'Разъемную форму выстелите пищевой пленкой, выложите половину куриного мусса, разровняйте, разложите 8 помидоров черри, слегка вдавите.', 'Выложите оставшийся куриный мусс и уберите в холодильник.', 'Для мусса из риса со шпинатом. Рис залейте водой, доведите до кипения, варите 3-5 минут, затем влейте молоко, добавьте соль, доведите до кипения и варите на маленьком огне минут 25-30 до полной готовности риса.', 'Шпинат промойте, опустите в кипящую воду на 1 минуту, затем откиньте на дуршлаг, чтобы стекла лишняя жидкость, измельчите в блендере. Желатин замочите в холодной воде на 8-10 минут. Готовый рис снимите с огня, измельчите в пюре с помощью блендера, добавьте шпинат, измельченный чеснок и лимонный сок.', 'Перемешайте.', 'Сливки 10% нагрейте, распустите в них желатин, добавьте в рисовую массу, перемешайте.', 'Затем добавьте взбитые до устойчивых пик сливки 33% и аккуратно примешайте в массу.', 'Мусс из шпината выложите в форму сверху на мусс из курицы, разровняйте, украсьте черри, уберите в холодильник до полного застывания.', 'Готовый торт-мусс аккуратно извлеките из формы, украсьте листьями салата (или шпината) и подавайте к столу.']"
https://www.povarenok.ru/recipes/show/181306/,"Грузинский салат ""Газапхули""","{'Яблоко': '1 шт', 'Огурец': '2 шт', 'Чеснок': '1 зуб.', 'Лук зеленый': '4 шт', 'Укроп': '4 веточ.', 'Сок лимонный': '0.5 ч. л.', 'Масло оливковое': '1 ст. л.', 'Соль': 'по вкусу'}",363.6,6.9,21,38.4,181.8,3.5,10.5,19.2,55.1,1,3.2,5.8,2.0,"['Автор предлагает огурцы и яблоко натереть на крупной терке, но я предпочитаю овощи нарезать соломкой. И сразу же поливаю яблоки соком лимона, чтобы предотвратить их потемнение.', 'В рецепте указывалось 2 огурца. Вероятно, если они небольшие. Но, особенно зимой, в магазинах довольно крупные огурцы, поэтому я сохраняю соотношение яблок и огурцов 1 к 1.\r\nЧеснок также режу тоненькой соломкой.', 'Укроп (без стеблей) мелко нарубить. Перья зеленого лука нарезать. Все добавить к огурцам.', 'Соединяем все овощи и поливаем оливковым маслом и солим всего лишь щепоткой соли. Перемешиваем и подаем на стол. Просто, быстро, а аромат!!!']"
https://www.povarenok.ru/recipes/show/181216/,Кокосовый торт без выпечки,"{'Крупа манная': '180 г', 'Молоко': '1 л', 'Сахар': '150 г', 'Стружка кокосовая': '50 г', 'Печенье': '200 г'}",2754.5,66.6,60.8,491.9,344.3,8.3,7.6,61.5,171.1,4.1,3.8,30.6,8.0,"['1. В кастрюлю насыпаю манную крупу, сахар, кокосовую стружку, вливаю молоко, перемешиваю. Варю на среднем огне, постоянно помешивая, когда масса станет густой, варю еще 1 минуту и убираю с огня.\r\n2. Беру силиконовую форму, перед использованием наливаю в нее воду, затем сливаю. В форму кладу смесь, пока она еще жидкая и не остывшая, равномерно распределяю ее по форме.\r\n3. В горячую заварную массу вставляю печенье, торту даю остыть при комнатной температуре, а затем ставлю\r\n в холодильник на 3-4 часа.\r\n4. Торт достаю с холодильника, форму с тортом переворачиваю на блюдо и нарезаю на порционные куски.\r\nПримечание: Для этого торта лучше брать чугунную форму или форму с углеродистой стали, тогда форма торта будет лучше выглядеть и его удобнее будет доставать из формы.']"
